bel,0,0
bela,2000,2
vinimalvadeza,1200,1
vini malvadeza,1200,1
vindadiweohfwaaopw34u9t9j}^x~~zxx,1200,1
vi,1300,4
lula molusco,1500,5
vini,1600,2
vinicius,211,3
